timestamp,node_id,distance,rssi,snr,sf,event,packet_success,vib_rms,gas_mean,peak_acc,predicted
2025-12-01T20:13:21.604429,1,66.09864750632687,-62.049379222407296,-12.418277911109035,8,1,0,2.3373779922105977,796.7977190659773,4.641064611146428,1
2025-12-01T20:13:21.621454,2,213.303160239312,-58.91267720467808,-12.21372231962317,7,1,1,2.663587745602811,785.3666437959841,6.575572748154528,1
2025-12-01T20:13:21.633449,3,104.43065396430688,-54.85765359664131,-12.547903341645565,7,1,1,0.18642152977962828,780.8704033812395,0.30096582980678377,1
2025-12-01T20:13:22.146637,1,104.10125974857276,-65.66156164318066,6.412071484062732,10,0,1,0.7831101114927655,213.09634583198292,1.599286161425951,0
2025-12-01T20:13:22.163664,2,97.84292765383114,-83.02818692197128,-11.10603277670426,7,0,1,0.5784992165882111,674.5900524986157,1.1463390471184596,0
2025-12-01T20:13:22.177653,3,72.67243797217655,-119.564727068857,0.5439755711606509,7,1,1,1.8516231482956111,554.9746850233537,3.06696463137584,1
2025-12-01T20:13:22.739937,1,286.430628061914,-83.95410075206047,-11.387355053689113,10,1,1,1.7616962570867165,529.093270518413,2.653015987553404,1
2025-12-01T20:13:22.770925,2,156.15267245129004,-100.53748284577631,-18.704404753559288,10,1,1,2.03158189297105,321.41263174996726,4.484258502505759,1
2025-12-01T20:13:22.791841,3,238.4482287700216,-67.11123692487311,1.8186637902032565,10,1,1,1.6794789678611095,612.2976916458765,4.558686872824103,1
2025-12-01T20:13:23.314723,1,158.54141557431794,-102.13229852939168,-8.199884376197609,8,0,0,0.7767605101625316,213.8151719300854,2.200480703366201,0
2025-12-01T20:13:23.333389,2,170.59002857577897,-113.30700666385856,-8.84324596337897,10,1,1,1.9478579927869928,786.0795732090194,4.122378841228423,1
2025-12-01T20:13:23.354385,3,133.2675061012896,-90.76429490721534,-15.51936622531985,7,0,1,0.17116504458033946,735.7588306499533,0.2832627463405046,0
2025-12-01T20:13:23.881961,1,227.45311224713626,-106.69273671180326,-2.097613153858571,9,1,1,1.1229557219637853,819.2248577374464,2.2520148058101626,1
2025-12-01T20:13:23.897141,2,184.1145331519509,-114.18719509202938,5.488961435013412,10,1,1,1.425554743315779,433.37540701805824,4.163431955982979,1
2025-12-01T20:13:23.912167,3,122.6356089502216,-89.8284930320838,-15.92625074529876,9,1,1,2.2545519119915833,812.6718196312987,4.318228358928842,1
2025-12-01T20:13:24.425932,1,220.38471772993663,-71.7811430762617,-1.9799230554763376,8,0,1,0.08370040396487362,737.237661256751,0.19657262456942712,0
2025-12-01T20:13:24.472738,2,204.2145891464158,-59.95651578933031,-1.570985996882829,10,1,1,2.2570178242393006,234.63093446658758,5.796856856044612,1
2025-12-01T20:13:24.495413,3,217.63238708638065,-76.92564778737011,-15.079008894551748,9,0,1,0.8713097018597024,686.7237776064101,1.8231877266546288,0
2025-12-01T20:13:25.022465,1,118.68841907016156,-89.6846965414789,-13.440442728225431,7,1,1,1.9254646701021694,378.0556327173073,4.687841961460691,1
2025-12-01T20:13:25.037126,2,114.67958802559934,-51.92893463126751,9.38386840358066,9,1,1,1.8259641691859965,735.6085725389931,4.19376260599268,1
2025-12-01T20:13:25.048193,3,218.20151342018673,-74.27558476099475,3.800649943597179,10,1,1,2.632547010271364,890.881170310293,5.113913304138414,1
2025-12-01T20:13:25.559853,1,78.60765619935938,-111.39054744448453,-4.387398354379471,10,1,1,1.647793810435221,794.9973965803929,4.49843531476501,1
2025-12-01T20:13:25.570387,2,249.72558279341894,-56.11296866713177,5.3039161874833916,9,1,1,1.7722969219912164,639.3578465774428,4.489965132805356,1
2025-12-01T20:13:25.580382,3,181.98458399340413,-111.38625741513378,6.0358837133344245,9,0,1,0.018547175328664033,378.2448525150722,0.054585858693738956,0
2025-12-01T20:13:26.095960,1,144.79282499628033,-86.96670755522294,-2.2206369195751776,8,0,1,1.1010746564518608,626.2901368656173,1.7686474223121114,0
2025-12-01T20:13:26.115653,2,35.59447848712315,-82.56365582454278,-13.132259269366031,7,1,0,2.387795851465138,408.2424656489487,6.816316268171634,1
